"category","product_id","product_name"
"Office Supplies","OFF-PA-10001838","Adams Telephone Message Book W/Dividers/Space For Phone Numbers, 5 1/4""X8 1/2"", 300/Messages"
"Technology","TEC-PH-10002468","Plantronics CS 50-USB - headset - Convertible, Monaural"
"Office Supplies","OFF-BI-10002133","Wilson Jones Elliptical Ring 3 1/2"" Capacity Binders, 800 sheets"
"Office Supplies","OFF-EN-10001335","White Business Envelopes with Contemporary Seam, Recycled White Business Envelopes"
"Office Supplies","OFF-EN-10002600","Redi-Strip #10 Envelopes, 4 1/8 x 9 1/2"
"Office Supplies","OFF-EN-10004386","Recycled Interoffice Envelopes with String and Button Closure, 10 x 13"
"Technology","TEC-MA-10003589","Cisco 8961 IP Phone Charcoal"
"Technology","TEC-PH-10002923","Logitech B530 USB Headset - headset - Full size, Binaural"
"Office Supplies","OFF-ST-10002554","Tennsco Industrial Shelving"
"Furniture","FUR-CH-10002317","Global Enterprise Series Seating Low-Back Swivel/Tilt Chairs"
"Office Supplies","OFF-PA-10000483","Xerox 19"
"Office Supplies","OFF-BI-10003719","Large Capacity Hanging Post Binders"
"Furniture","FUR-FU-10001424","Dax Clear Box Frame"
"Office Supplies","OFF-BI-10003708","Acco Four Pocket Poly Ring Binder with Label Holder, Smoke, 1"""
"Technology","TEC-PH-10002200","Samsung Galaxy Note 2"
"Technology","TEC-PH-10000347","Cush Cases Heavy Duty Rugged Cover Case for Samsung Galaxy S5 - Purple"
"Office Supplies","OFF-AR-10001216","Newell 339"
"Office Supplies","OFF-EN-10003567","Inter-Office Recycled Envelopes, Brown Kraft, Button-String,10"" x 13"" , 100/Box"
"Technology","TEC-MA-10000904","Brother MFC-9340CDW LED All-In-One Printer, Copier Scanner"
"Furniture","FUR-TA-10004154","Riverside Furniture Oval Coffee Table, Oval End Table, End Table with Drawer"
"Office Supplies","OFF-AR-10000390","Newell Chalk Holder"
"Office Supplies","OFF-AR-10002335","DIXON Oriole Pencils"
"Office Supplies","OFF-BI-10003982","Wilson Jones Century Plastic Molded Ring Binders"
"Furniture","FUR-CH-10002073","Hon Olson Stacker Chairs"
"Technology","TEC-AC-10000023","Maxell 74 Minute CD-R Spindle, 50/Pack"
"Furniture","FUR-FU-10003878","Linden 10"" Round Wall Clock, Black"
"Office Supplies","OFF-BI-10004584","GBC ProClick 150 Presentation Binding System"
"Furniture","FUR-FU-10002759","12-1/2 Diameter Round Wall Clock"
"Office Supplies","OFF-AR-10004062","Staples in misc. colors"
"Office Supplies","OFF-ST-10003722","Project Tote Personal File"
"Office Supplies","OFF-AR-10003251","Prang Drawing Pencil Set"
"Office Supplies","OFF-PA-10004996","Speediset Carbonless Redi-Letter 7"" x 8 1/2"""
"Technology","TEC-PH-10001580","Logitech Mobile Speakerphone P710e - speaker phone"
"Furniture","FUR-FU-10002088","Nu-Dell Float Frame 11 x 14 1/2"
"Technology","TEC-PH-10003012","Nortel Meridian M3904 Professional Digital phone"
"Technology","TEC-PH-10000441","VTech DS6151"
"Office Supplies","OFF-AR-10001022","SANFORD Liquid Accent Tank-Style Highlighters"
"Office Supplies","OFF-PA-10000167","Xerox 1925"
"Furniture","FUR-CH-10004853","Global Manager's Adjustable Task Chair, Storm"
"Office Supplies","OFF-AR-10002255","Newell 346"
"Office Supplies","OFF-SU-10002522","Acme Kleen Earth Office Shears"
"Office Supplies","OFF-BI-10003476","Avery Metallic Poly Binders"
"Furniture","FUR-TA-10003569","Bretford CR8500 Series Meeting Room Furniture"
"Technology","TEC-PH-10000148","Cyber Acoustics AC-202b Speech Recognition Stereo Headset"
"Office Supplies","OFF-ST-10000676","Fellowes Econo/Stor Drawers"
"Office Supplies","OFF-BI-10001031","Pressboard Data Binders by Wilson Jones"
"Office Supplies","OFF-AR-10003478","Avery Hi-Liter EverBold Pen Style Fluorescent Highlighters, 4/Pack"
"Furniture","FUR-FU-10002554","Westinghouse Floor Lamp with Metal Mesh Shade, Black"
"Furniture","FUR-CH-10000665","Global Airflow Leather Mesh Back Chair, Black"
"Office Supplies","OFF-EN-10003286","Staple envelope"
"Technology","TEC-AC-10003063","Micro Innovations USB RF Wireless Keyboard with Mouse"
"Furniture","FUR-FU-10001475","Contract Clock, 14"", Brown"
"Office Supplies","OFF-PA-10000533","Southworth Parchment Paper & Envelopes"
"Office Supplies","OFF-BI-10002012","Wilson Jones Easy Flow II Sheet Lifters"
"Office Supplies","OFF-PA-10003039","Xerox 1960"
"Office Supplies","OFF-AP-10001242","APC 7 Outlet Network SurgeArrest Surge Protector"
"Technology","TEC-PH-10003505","Geemarc AmpliPOWER60"
"Office Supplies","OFF-AR-10003732","Newell 333"
"Office Supplies","OFF-ST-10003994","Belkin 19"" Center-Weighted Shelf, Gray"
"Office Supplies","OFF-EN-10000461","#10- 4 1/8"" x 9 1/2"" Recycled Envelopes"
"Furniture","FUR-TA-10003238","Chromcraft Bull-Nose Wood 48"" x 96"" Rectangular Conference Tables"
"Technology","TEC-PH-10003535","RCA ViSYS 25423RE1 Corded phone"
"Office Supplies","OFF-PA-10002137","Southworth 100% Résumé Paper, 24lb."
"Office Supplies","OFF-ST-10003282","Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers"
"Technology","TEC-PH-10002115","Plantronics 81402"
"Technology","TEC-PH-10002398","AT&T 1070 Corded Phone"
"Office Supplies","OFF-PA-10002195","Xerox 1966"
"Office Supplies","OFF-BI-10002954","Newell 3-Hole Punched Plastic Slotted Magazine Holders for Binders"
"Office Supplies","OFF-AR-10000634","Newell 320"
"Technology","TEC-PH-10000526","Vtech CS6719"
"Technology","TEC-PH-10001795","RCA H5401RE1 DECT 6.0 4-Line Cordless Handset With Caller ID/Call Waiting"
"Office Supplies","OFF-ST-10004180","Safco Commercial Shelving"
"Technology","TEC-CO-10000971","Hewlett Packard 310 Color Digital Copier"
"Technology","TEC-PH-10004094","Motorola L703CM"
"Office Supplies","OFF-BI-10002353","GBC VeloBind Cover Sets"
"Furniture","FUR-TA-10002645","Hon Rectangular Conference Tables"
"Furniture","FUR-FU-10003601","Deflect-o RollaMat Studded, Beveled Mat for Medium Pile Carpeting"
"Technology","TEC-AC-10000158","Sony 64GB Class 10 Micro SDHC R40 Memory Card"
"Office Supplies","OFF-PA-10001033","Xerox 1893"
"Office Supplies","OFF-BI-10001922","Storex Dura Pro Binders"
"Office Supplies","OFF-LA-10003121","Avery 506"
"Furniture","FUR-CH-10004477","Global Push Button Manager's Chair, Indigo"
"Furniture","FUR-TA-10001095","Chromcraft Round Conference Tables"
"Furniture","FUR-FU-10001935","3M Hangers With Command Adhesive"
"Technology","TEC-AC-10000927","Anker Ultrathin Bluetooth Wireless Keyboard Aluminum Cover with Stand "
"Technology","TEC-PH-10001363","Apple iPhone 5S"
"Office Supplies","OFF-PA-10001972","Xerox 214"
"Office Supplies","OFF-FA-10000735","Staples"
"Office Supplies","OFF-AP-10002350","Belkin F9H710-06 7 Outlet SurgeMaster Surge Protector"
"Office Supplies","OFF-FA-10002983","Advantus SlideClip Paper Clips"
"Furniture","FUR-FU-10001617","Executive Impressions 8-1/2"" Career Panel/Partition Cubicle Clock"
"Office Supplies","OFF-PA-10001509","Recycled Desk Saver Line ""While You Were Out"" Book, 5 1/2"" X 4"""
"Office Supplies","OFF-BI-10001120","Ibico EPK-21 Electric Binding System"
"Furniture","FUR-CH-10002304","Global Stack Chair without Arms, Black"
"Office Supplies","OFF-PA-10001934","Xerox 1993"
"Technology","TEC-AC-10001767","SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card"
"Office Supplies","OFF-BI-10003656","Fellowes PB200 Plastic Comb Binding Machine"
"Technology","TEC-MA-10003337","Okidata B401 Printer"
"Office Supplies","OFF-AP-10003281","Acco 6 Outlet Guardian Standard Surge Suppressor"
"Office Supplies","OFF-BI-10004656","Peel & Stick Add-On Corner Pockets"
"Technology","TEC-MA-10004241","Star Micronics TSP800 TSP847IIU Receipt Printer"
"Technology","TEC-AC-10000892","NETGEAR N750 Dual Band Wi-Fi Gigabit Router"
"Office Supplies","OFF-PA-10004022","Hammermill Color Copier Paper (28Lb. and 96 Bright)"
"Office Supplies","OFF-BI-10000315","Poly Designer Cover & Back"
"Office Supplies","OFF-LA-10004425","Staple-on labels"
"Furniture","FUR-FU-10000521","Seth Thomas 14"" Putty-Colored Wall Clock"
"Office Supplies","OFF-AP-10000595","Disposable Triple-Filter Dust Bags"
"Office Supplies","OFF-BI-10001072","GBC Clear Cover, 8-1/2 x 11, unpunched, 25 covers per pack"
"Office Supplies","OFF-PA-10000308","Xerox 1901"
"Office Supplies","OFF-PA-10000528","Xerox 1981"
"Office Supplies","OFF-BI-10001890","Avery Poly Binder Pockets"
"Technology","TEC-MA-10001856","Okidata C610n Printer"
"Office Supplies","OFF-ST-10004950","Acco Perma 3000 Stacking Storage Drawers"
"Office Supplies","OFF-PA-10002105","Xerox 223"
"Technology","TEC-CO-10002095","Hewlett Packard 610 Color Digital Copier / Printer"
"Office Supplies","OFF-ST-10002957","Sterilite Show Offs Storage Containers"
"Technology","TEC-PH-10002352","Avaya IP Phone 1140E VoIP phone"
"Office Supplies","OFF-ST-10001511","Space Solutions Commercial Steel Shelving"
"Furniture","FUR-FU-10001215","Howard Miller 11-1/2"" Diameter Brentwood Wall Clock"
"Office Supplies","OFF-PA-10001815","Xerox 1885"
"Office Supplies","OFF-EN-10002230","Airmail Envelopes"
"Office Supplies","OFF-AR-10001545","Newell 326"
"Furniture","FUR-FU-10000305","Tenex V2T-RE Standard Weight Series Chair Mat, 45"" x 53"", Lip 25"" x 12"""
"Office Supplies","OFF-LA-10004272","Avery 482"
"Furniture","FUR-FU-10004587","GE General Use Halogen Bulbs, 100 Watts, 1 Bulb per Pack"
"Technology","TEC-PH-10004833","Macally Suction Cup Mount"
"Furniture","FUR-CH-10004698","Padded Folding Chairs, Black, 4/Carton"
"Office Supplies","OFF-BI-10003963","Cardinal Holdit Data Disk Pockets"
"Office Supplies","OFF-PA-10004327","Xerox 1911"
"Furniture","FUR-FU-10004864","Howard Miller 14-1/2"" Diameter Chrome Round Wall Clock"
"Furniture","FUR-TA-10002607","KI Conference Tables"
"Office Supplies","OFF-ST-10000025","Fellowes Stor/Drawer Steel Plus Storage Drawers"
"Office Supplies","OFF-PA-10000520","Xerox 201"
"Office Supplies","OFF-BI-10003166","GBC Plasticlear Binding Covers"
"Office Supplies","OFF-ST-10000649","Hanging Personal Folder File"
"Office Supplies","OFF-EN-10003068","#6 3/4 Gummed Flap White Envelopes"
"Technology","TEC-AC-10001772","Memorex Mini Travel Drive 16 GB USB 2.0 Flash Drive"
"Furniture","FUR-FU-10002268","Ultra Door Push Plate"
"Office Supplies","OFF-EN-10001137","#10 Gummed Flap White Envelopes, 100/Box"
"Office Supplies","OFF-PA-10004438","Xerox 1907"
"Furniture","FUR-TA-10001039","KI Adjustable-Height Table"
"Furniture","FUR-TA-10001539","Chromcraft Rectangular Conference Tables"
"Office Supplies","OFF-LA-10000240","Self-Adhesive Address Labels for Typewriters by Universal"
"Office Supplies","OFF-LA-10004545","Avery 50"
"Technology","TEC-AC-10003116","Memorex Froggy Flash Drive 8 GB"
"Office Supplies","OFF-PA-10000141","Ampad Evidence Wirebond Steno Books, 6"" x 9"""
"Technology","TEC-AC-10003237","Memorex Micro Travel Drive 4 GB"
"Technology","TEC-MA-10003230","Okidata C610n Printer"
"Office Supplies","OFF-BI-10002026","Ibico Recycled Linen-Style Covers"
"Furniture","FUR-FU-10004909","Contemporary Wood/Metal Frame"
"Furniture","FUR-TA-10001520","Lesro Sheffield Collection Coffee Table, End Table, Center Table, Corner Table"
"Technology","TEC-PH-10002496","Cisco SPA301"
"Office Supplies","OFF-ST-10001325","Sterilite Officeware Hinged File Box"
"Furniture","FUR-TA-10004256","Bretford Just In Time Height-Adjustable Multi-Task Work Tables"
"Office Supplies","OFF-BI-10001634","Wilson Jones Active Use Binders"
"Office Supplies","OFF-PA-10000575","Wirebound Message Books, Four 2 3/4 x 5 White Forms per Page"
"Office Supplies","OFF-PA-10003177","Xerox 1999"
"Furniture","FUR-BO-10001337","O'Sullivan Living Dimensions 2-Shelf Bookcases"
"Technology","TEC-PH-10002624","Samsung Galaxy S4 Mini"
"Office Supplies","OFF-EN-10001453","Tyvek Interoffice Envelopes, 9 1/2"" x 12 1/2"", 100/Box"
"Office Supplies","OFF-EN-10003072","Peel & Seel Envelopes"
"Furniture","FUR-TA-10004619","Hon Non-Folding Utility Tables"
"Technology","TEC-AC-10001552","Logitech K350 2.4Ghz Wireless Keyboard"
"Technology","TEC-PH-10000560","Samsung Galaxy S III - 16GB - pebble blue (T-Mobile)"
"Office Supplies","OFF-PA-10002552","Xerox 1958"
"Office Supplies","OFF-PA-10001970","Xerox 1908"
"Technology","TEC-PH-10001918","Nortel Business Series Terminal T7208 Digital phone"
"Furniture","FUR-FU-10003247","36X48 HARDFLOOR CHAIRMAT"
"Office Supplies","OFF-AR-10000315","Dixon Ticonderoga Maple Cedar Pencil, #2"
"Furniture","FUR-BO-10001519","O'Sullivan 3-Shelf Heavy-Duty Bookcases"
"Office Supplies","OFF-AP-10003217","Eureka Sanitaire  Commercial Upright"
"Office Supplies","OFF-AP-10001058","Sanyo 2.5 Cubic Foot Mid-Size Office Refrigerators"
"Office Supplies","OFF-AR-10004260","Boston 1799 Powerhouse Electric Pencil Sharpener"
"Office Supplies","OFF-PA-10004888","Xerox 217"
"Office Supplies","OFF-ST-10002289","Safco Wire Cube Shelving System, For Use as 4 or 5 14"" Cubes, Black"
"Office Supplies","OFF-LA-10002034","Avery 478"
"Office Supplies","OFF-ST-10001097","Office Impressions Heavy Duty Welded Shelving & Multimedia Storage Drawers"
"Office Supplies","OFF-ST-10000136","Letter Size File"
"Furniture","FUR-FU-10003724","Westinghouse Clip-On Gooseneck Lamps"
"Office Supplies","OFF-AP-10001492","Acco Six-Outlet Power Strip, 4' Cord Length"
"Office Supplies","OFF-PA-10004971","Xerox 196"
"Office Supplies","OFF-AR-10002578","Newell 335"
"Furniture","FUR-FU-10004848","DAX Solid Wood Frames"
"Furniture","FUR-CH-10003761","Global Italian Leather Office Chair"
"Technology","TEC-AC-10003441","Kingston Digital DataTraveler 32GB USB 2.0"
"Office Supplies","OFF-BI-10000822","Acco PRESSTEX Data Binder with Storage Hooks, Light Blue, 9 1/2"" X 11"""
"Furniture","FUR-FU-10000246","Aluminum Document Frame"
"Office Supplies","OFF-EN-10003798","Recycled Interoffice Envelopes with Re-Use-A-Seal Closure, 10 x 13"
"Technology","TEC-AC-10001432","Enermax Aurora Lite Keyboard"
"Office Supplies","OFF-AR-10002671","Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige"
"Office Supplies","OFF-AP-10000055","Belkin F9S820V06 8 Outlet Surge"
"Office Supplies","OFF-LA-10002271","Smead Alpha-Z Color-Coded Second Alphabetical Labels and Starter Set"
"Technology","TEC-AC-10003198","Enermax Acrylux Wireless Keyboard"
"Furniture","FUR-FU-10003798","Ultra Door Kickplate, 8""H x 34""W"
"Office Supplies","OFF-AR-10003752","Deluxe Chalkboard Eraser Cleaner"
"Office Supplies","OFF-FA-10000621","OIC Colored Binder Clips, Assorted Sizes"
"Office Supplies","OFF-LA-10002195","Avery 481"
"Office Supplies","OFF-PA-10004243","Xerox 1939"
"Technology","TEC-AC-10003280","Belkin F8E887 USB Wired Ergonomic Keyboard"
"Office Supplies","OFF-PA-10002377","Adams Telephone Message Book W/Dividers/Space For Phone Numbers, 5 1/4""X8 1/2"", 200/Messages"
"Furniture","FUR-CH-10001215","Global Troy Executive Leather Low-Back Tilter"
"Office Supplies","OFF-SU-10001225","Staple remover"
"Technology","TEC-AC-10002600","Belkin QODE FastFit Bluetooth Keyboard"
"Technology","TEC-MA-10002927","Canon imageCLASS MF7460 Monochrome Digital Laser Multifunction Copier"
"Office Supplies","OFF-BI-10004390","GBC DocuBind 200 Manual Binding Machine"
"Office Supplies","OFF-AP-10003779","Kensington 7 Outlet MasterPiece Power Center with Fax/Phone Line Protection"
"Office Supplies","OFF-FA-10000611","Binder Clips by OIC"
"Furniture","FUR-FU-10001185","Advantus Employee of the Month Certificate Frame, 11 x 13-1/2"
"Office Supplies","OFF-AR-10003514","4009 Highlighters by Sanford"
"Technology","TEC-AC-10004209","Memorex Froggy Flash Drive 4 GB"
"Office Supplies","OFF-AP-10002892","Belkin F5C206VTEL 6 Outlet Surge"
"Technology","TEC-AC-10002926","Logitech Wireless Marathon Mouse M705"
"Furniture","FUR-FU-10000723","Deflect-o EconoMat Studded, No Bevel Mat for Low Pile Carpeting"
"Office Supplies","OFF-AP-10002867","Fellowes Command Center 5-outlet power strip"
"Furniture","FUR-TA-10002855","Bevis Round Conference Table Top & Single Column Base"
"Technology","TEC-AC-10002550","Maxell 4.7GB DVD-RW 3/Pack"
"Furniture","FUR-FU-10001852","Eldon Regeneration Recycled Desk Accessories, Smoke"
"Office Supplies","OFF-BI-10001036","Cardinal EasyOpen D-Ring Binders"
"Office Supplies","OFF-AR-10000369","Design Ebony Sketching Pencil"
"Office Supplies","OFF-BI-10001787","Wilson Jones Four-Pocket Poly Binders"
"Furniture","FUR-FU-10001095","DAX Black Cherry Wood-Tone Poster Frame"
"Furniture","FUR-BO-10002824","Bush Mission Pointe Library"
"Furniture","FUR-CH-10003379","Global Commerce Series High-Back Swivel/Tilt Chairs"
"Office Supplies","OFF-AP-10001005","Honeywell Quietcare HEPA Air Cleaner"
"Office Supplies","OFF-BI-10002414","GBC ProClick Spines for 32-Hole Punch"
"Furniture","FUR-FU-10000409","GE 4 Foot Flourescent Tube, 40 Watt"
"Office Supplies","OFF-EN-10003862","Laser & Ink Jet Business Envelopes"
"Furniture","FUR-FU-10001706","Longer-Life Soft White Bulbs"
"Office Supplies","OFF-AR-10004602","Boston KS Multi-Size Manual Pencil Sharpener"
"Technology","TEC-AC-10003709","Maxell 4.7GB DVD-R 5/Pack"
"Office Supplies","OFF-BI-10004828","GBC Poly Designer Binding Covers"
"Office Supplies","OFF-BI-10001575","GBC Linen Binding Covers"
"Office Supplies","OFF-PA-10001184","Xerox 1903"
"Office Supplies","OFF-BI-10000977","Ibico Plastic Spiral Binding Combs"
"Office Supplies","OFF-AP-10002191","Belkin 8 Outlet SurgeMaster II Gold Surge Protector"
"Office Supplies","OFF-SU-10003567","Stiletto Hand Letter Openers"
"Office Supplies","OFF-PA-10001801","Xerox 193"
"Office Supplies","OFF-PA-10004156","Xerox 188"
"Furniture","FUR-FU-10004622","Eldon Advantage Foldable Chair Mats for Low Pile Carpets"
"Furniture","FUR-FU-10000550","Stacking Trays by OIC"
"Office Supplies","OFF-AR-10001468","Sanford Prismacolor Professional Thick Lead Art Pencils, 36-Color Set"
"Technology","TEC-AC-10000057","Microsoft Natural Ergonomic Keyboard 4000"
"Technology","TEC-PH-10002200","Aastra 6757i CT Wireless VoIP phone"
"Office Supplies","OFF-PA-10000357","Xerox 1888"
"Office Supplies","OFF-AR-10003373","Boston School Pro Electric Pencil Sharpener, 1670"
"Technology","TEC-PH-10001835","Jawbone JAMBOX Wireless Bluetooth Speaker"
"Technology","TEC-MA-10000112","Panasonic KX MB2061 Multifunction Printer"
"Office Supplies","OFF-AR-10000658","Newell 324"
"Office Supplies","OFF-SU-10000151","High Speed Automatic Electric Letter Opener"
"Office Supplies","OFF-PA-10001954","Xerox 1964"
"Furniture","FUR-TA-10003473","Bretford Rectangular Conference Table Tops"
"Office Supplies","OFF-FA-10003495","Staples"
"Office Supplies","OFF-AP-10003099","Eureka Hand Vacuum, Bagless"
"Office Supplies","OFF-BI-10001098","Acco D-Ring Binder w/DublLock"
"Technology","TEC-MA-10002790","NeatDesk Desktop Scanner & Digital Filing System"
"Office Supplies","OFF-ST-10001932","Fellowes Staxonsteel Drawer Files"
"Furniture","FUR-CH-10004287","SAFCO Arco Folding Chair"
"Office Supplies","OFF-PA-10001560","Adams Telephone Message Books, 5 1/4 x 11"
"Office Supplies","OFF-PA-10000213","Xerox 198"
"Furniture","FUR-BO-10004218","Bush Heritage Pine Collection 5-Shelf Bookcase, Albany Pine Finish, *Special Order"
"Technology","TEC-AC-10003499","Memorex Mini Travel Drive 8 GB USB 2.0 Flash Drive"
"Office Supplies","OFF-PA-10001246","Xerox 215"
"Office Supplies","OFF-BI-10002082","GBC Twin Loop Wire Binding Elements"
"Office Supplies","OFF-PA-10000061","Xerox 205"
"Office Supplies","OFF-FA-10004838","Super Bands, 12/Pack"
"Office Supplies","OFF-ST-10000689","Fellowes Strictly Business Drawer File, Letter/Legal Size"
"Office Supplies","OFF-PA-10001609","Tops Wirebound Message Log Books"
"Furniture","FUR-CH-10002780","Office Star - Task Chair with Contemporary Loop Arms"
"Furniture","FUR-FU-10001986","Dana Fluorescent Magnifying Lamp, White, 36"""
"Technology","TEC-MA-10000488","Bady BDG101FRU Card Printer"
"Office Supplies","OFF-AP-10001564","Hoover Commercial Lightweight Upright Vacuum with E-Z Empty Dirt Cup"
"Technology","TEC-PH-10002275","Mitel 5320 IP Phone VoIP phone"
"Office Supplies","OFF-BI-10003718","GBC Therma-A-Bind 250T Electric Binding System"
"Office Supplies","OFF-AR-10001868","Prang Dustless Chalk Sticks"
"Office Supplies","OFF-BI-10001196","Avery Flip-Chart Easel Binder, Black"
"Technology","TEC-AC-10004633","Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack"
"Technology","TEC-PH-10002660","Nortel Networks T7316 E Nt8 B27"
"Office Supplies","OFF-ST-10002011","Smead Adjustable Mobile File Trolley with Lockable Top"
"Office Supplies","OFF-PA-10001804","Xerox 195"
"Office Supplies","OFF-LA-10003714","Avery 510"
"Technology","TEC-PH-10000923","Belkin SportFit Armband For iPhone 5s/5c, Fuchsia"
"Office Supplies","OFF-SU-10002537","Acme Box Cutter Scissors"
"Office Supplies","OFF-PA-10004983","Xerox 23"
"Office Supplies","OFF-ST-10000060","Fellowes Bankers Box Staxonsteel Drawer File/Stacking System"
"Technology","TEC-PH-10000215","Plantronics Cordless Phone Headset with In-line Volume - M214C"
"Office Supplies","OFF-ST-10002583","Fellowes Neat Ideas Storage Cubes"
"Office Supplies","OFF-PA-10002230","Xerox 1897"
"Technology","TEC-PH-10001817","Wilson Electronics DB Pro Signal Booster"
"Furniture","FUR-FU-10004091","Eldon 200 Class Desk Accessories, Black"
"Office Supplies","OFF-AR-10000255","Newell 328"
"Office Supplies","OFF-PA-10004734","Southworth Structures Collection"
"Technology","TEC-PH-10002310","Plantronics Calisto P620-M USB Wireless Speakerphone System"
"Office Supplies","OFF-ST-10001522","Gould Plastics 18-Pocket Panel Bin, 34w x 5-1/4d x 20-1/2h"
"Office Supplies","OFF-BI-10003727","Avery Durable Slant Ring Binders With Label Holder"
"Office Supplies","OFF-EN-10003448","Peel & Seel Recycled Catalog Envelopes, Brown"
"Office Supplies","OFF-LA-10003663","Avery 498"
"Technology","TEC-AC-10003095","Logitech G35 7.1-Channel Surround Sound Headset"
"Technology","TEC-AC-10004814","Logitech Illuminated Ultrathin Keyboard with Backlighting"
"Office Supplies","OFF-ST-10002444","Recycled Eldon Regeneration Jumbo File"
"Office Supplies","OFF-PA-10002365","Xerox 1967"
"Office Supplies","OFF-AP-10000252","Harmony HEPA Quiet Air Purifiers"
"Office Supplies","OFF-AR-10001919","OIC #2 Pencils, Medium Soft"
"Technology","TEC-AC-10004127","SanDisk Cruzer 8 GB USB Flash Drive"
"Furniture","FUR-FU-10004017","Executive Impressions 13"" Chairman Wall Clock"
"Office Supplies","OFF-ST-10002276","Safco Steel Mobile File Cart"
"Office Supplies","OFF-PA-10001357","Xerox 1886"
"Furniture","FUR-BO-10003660","Bush Cubix Collection Bookcases, Fully Assembled"
"Office Supplies","OFF-BI-10000042","Pressboard Data Binder, Crimson, 12"" X 8 1/2"""
"Office Supplies","OFF-SU-10004768","Acme Kleencut Forged Steel Scissors"
"Technology","TEC-PH-10003885","Cisco SPA508G"
"Office Supplies","OFF-ST-10000344","Neat Ideas Personal Hanging Folder Files, Black"
"Technology","TEC-MA-10003674","Hewlett-Packard Deskjet 5550 Printer"
"Office Supplies","OFF-AP-10001124","Belkin 8 Outlet SurgeMaster II Gold Surge Protector with Phone Protection"
"Technology","TEC-AC-10001284","Enermax Briskie RF Wireless Keyboard and Mouse Combo"
"Furniture","FUR-TA-10004767","Safco Drafting Table"
"Office Supplies","OFF-ST-10000736","Carina Double Wide Media Storage Towers in Natural & Black"
"Office Supplies","OFF-AP-10002998","Holmes 99% HEPA Air Purifier"
"Technology","TEC-MA-10004212","Cisco SPA525G2 5-Line IP Phone"
"Furniture","FUR-FU-10000293","Eldon Antistatic Chair Mats for Low to Medium Pile Carpets"
"Furniture","FUR-CH-10000553","Metal Folding Chairs, Beige, 4/Carton"
"Office Supplies","OFF-BI-10001543","GBC VeloBinder Manual Binding System"
"Furniture","FUR-CH-10002647","Situations Contoured Folding Chairs, 4/Set"
"Technology","TEC-AC-10004859","Maxell Pro 80 Minute CD-R, 10/Pack"
"Technology","TEC-PH-10002447","AT&T CL83451 4-Handset Telephone"
